,Title,Graphs,Memory,OS,Processor,Storage,app_id,Original Price,Developer,Publisher,Genre,Release Date,User Tags,All Time Reception,Total Count of Reviews,Rating,Best Rating,Worst Rating
0,Tabletop Simulator,1,1,1,1,1,286160,"₩ 160,400",Berserk Games,Berserk Games,Casual,"5 Jun, 2015","['Tabletop', 'Board Game', 'Simulation', 'Multiplayer', 'Sandbox', 'Card Game', 'VR', 'Trading Card Game', 'Physics', 'Moddable', 'Casual', '3D', 'Strategy', 'Online Co-Op', 'Wargame', 'Co-op', 'RPG', 'Funny', 'First-Person', 'Indie']",Overwhelmingly Positive,40549,10,10,1
1,Abiotic Factor, GeForce GTX 950 or Radeon HD 7970, 8 GB RAM, Windows 10 or later, i5-8th Gen CPU or similar, 10 GB available space,427410,"₩ 27,000",Deep Field Games,Playstack,Action,"2 May, 2024","['Survival', 'Online Co-Op', 'Open World Survival Craft', 'Early Access', 'Crafting', 'Base Building', 'Sci-fi', 'Co-op Campaign', 'Exploration', 'Multiplayer', 'FPS', 'Sandbox', 'First-Person', 'Building', 'Science', 'Simulation', 'Aliens', 'PvE', 'Immersive Sim', 'Adventure']",Overwhelmingly Positive,15476,10,10,1
2,Risk of Rain 2, GTX 580 / AMD HD 7870, 4 GB RAM,1, Intel Core i3-6100 / AMD FX-8350, 4 GB available space,632360,"₩ 32,240",Hopoo Games,Gearbox Publishing,Action,"11 Aug, 2020","['Third-Person Shooter', 'Action Roguelike', 'Multiplayer', 'Co-op', 'Action', 'Roguelite', 'Roguelike', 'Looter Shooter', 'Loot', 'Online Co-Op', 'Shooter', 'Difficult', 'Third Person', 'Great Soundtrack', 'Indie', 'Survival', 'Singleplayer', 'Soundtrack', 'Early Access', 'Bullet Hell']",Very Positive,201540,9,10,1
3,Star Wars Outlaws," NVIDIA GeForce GTX 1660 (6 GB), AMD RX 5600XT (6 GB), Intel Arc A750 (8 GB, with ReBAR on) or better", 16 GB RAM," Windows 10, Windows 11 (64-bit versions)"," AMD Ryzen 5 3600 @ 3.6 GHz, Intel Core i7-8700K @ 3.70 GHz, or better", 65 GB available space,2842040,"₩ 110,200",Massive Entertainment – A Ubisoft Studio,Ubisoft,Action,"21 Nov, 2024","['Action', 'Singleplayer', 'Adventure', 'Action-Adventure', 'Third Person', 'Open World', 'Shooter', 'Third-Person Shooter', 'Sci-fi', 'Space', 'Story Rich', 'Exploration', 'Parkour', 'RPG', 'Atmospheric', 'Soundtrack', 'Choices Matter', 'Heist', 'Combat', 'Minigames']",Mostly Positive,616,7,10,1
4,Hearts of Iron IV, Nvidia® GeForce™ GTX 470 (1.28GB) | AMD® HD 5850 (1GB) | Intel Iris Xe G7 (Tiger Lake) | AMD® Radeon™ RX Vega 11, 4 GB RAM, Windows® 10 Home 64 Bit, Intel® Core™ i5 750 | AMD® FX 4300, 2 GB available space,394360,"₩ 160,250",Paradox Development Studio,Paradox Interactive,Simulation,"6 Jun, 2016","['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action']",Very Positive,224948,9,10,1
5,PowerWash Simulator," GeForce GTX 760, AMD R7-260X", 4 GB RAM,1," Intel i5-760 (4*2800), AMD Phenom II", 6 GB available space,1290000,"₩ 41,670",FuturLab,Square Enix,Casual,"14 Jul, 2022","['Casual', 'Relaxing', 'Simulation', 'Multiplayer', 'First-Person', '3D', 'Sandbox', 'Funny', 'Co-op', 'Immersive Sim', 'Online Co-Op', 'Family Friendly', 'Story Rich', 'Colorful', 'Realistic', 'Wholesome', 'Singleplayer', 'Indie', 'Cozy', 'Atmospheric']",Overwhelmingly Positive,42446,10,10,1
6,Victoria 3, Nvidia® GeForce™ GTX 660 (2GB)  |  AMD® Radeon™ R7 370 (2GB) or Intel® Iris® Xe Graphics or AMD® Radeon™ Vega 8, 8 GB RAM, Windows® 10 Home 64 Bit, Intel® Core™ i5-3470  |  AMD® FX™ 9370 (AVX support required), 10 GB available space,529340,"₩ 62,160",Paradox Development Studio,Paradox Interactive,Simulation,"25 Oct, 2022","['Grand Strategy', 'Historical', 'Economy', 'Political Sim', 'Strategy', 'Capitalism', 'Diplomacy', 'Politics', 'Management', 'Simulation', 'Alternate History', 'Moddable', 'Political', 'Resource Management', 'Real-Time with Pause', 'Replay Value', 'Multiplayer', 'Sandbox', 'Singleplayer', 'Military']",Mostly Positive,31952,6,10,1
7,Expansion - Hearts of Iron IV: Götterdämmerung, Nvidia® GeForce™ GTX 470 (1.28GB) | AMD® HD 5850 (1GB) | Intel Iris Xe G7 (Tiger Lake) | AMD® Radeon™ RX Vega 11, 4 GB RAM, Windows® 10 Home 64 Bit, Intel® Core™ i5 750 | AMD® FX 4300, 2 GB available space,3152780,"₩ 28,000",Paradox Development Studio,Paradox Interactive,Simulation,"14 Nov, 2024","['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action']",Very Positive,984,9,10,1
8,Core Keeper, GeForce GTX 460 / Radeon HD 5850, 8 GB RAM, Windows 10 64-bit, Intel Core i5-2300 / AMD Ryzen 3 1200,1,1621690,"₩ 21,500",Pugstorm,Fireshine Games,Adventure,"27 Aug, 2024","['Pixel Graphics', 'Open World Survival Craft', 'Online Co-Op', 'Sandbox', 'Survival', 'Adventure', 'Crafting', 'Exploration', '2D', 'Building', 'Mining', 'Dungeon Crawler', 'Procedural Generation', 'Farming Sim', 'Relaxing', 'Cooking', 'Simulation', 'Atmospheric', 'Mystery', 'Casual']",Very Positive,33692,9,10,1
9,ELDEN RING Shadow of the Erdtree, NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB, 12 GB RAM, Windows 10, INTEL CORE I5-8400 or AMD RYZEN 3 3300X, 60 GB available space,2778580,"₩ 49,800","FromSoftware, Inc.","FromSoftware, Inc.",Action,"20 Jun, 2024","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Lore-Rich', 'Exploration', 'Adventure', 'Story Rich', 'Singleplayer', 'Third Person', 'PvE', 'Action RPG', 'Character Customization', 'PvP', 'Online Co-Op', 'Multiplayer', '3D', 'Co-op']",Mostly Positive,79217,7,10,1
10,ACE COMBAT™ 7: SKIES UNKNOWN, NVIDIA GeForce GTX 750Ti(2GB), 4 GB RAM,1, Intel Core i3-7100, 50 GB available space,502500,"₩ 54,800",Bandai Namco Studios Inc.,Bandai Namco Entertainment,Action,"31 Jan, 2019","['Flight', 'Jet', 'Military', 'War', 'Shooter', 'Arcade', 'Cinematic', 'PvP', '3D', 'Action', 'Simulation', 'First-Person', 'Story Rich', 'Third Person', 'Multiplayer', 'Great Soundtrack', 'Singleplayer', 'Silent Protagonist', 'Sci-fi', 'Realistic']",Very Positive,35292,9,10,1
11,Yarimono, DirectX 9/OpenGL 4.1 capable GPU, 4 GB RAM,1, Intel Core2 Duo or better, 1 GB available space,2696050,"₩ 4,500",にゅう工房,072 Project,Adventure,"30 Aug, 2024","['Sexual Content', 'Hentai', 'Mature', 'Nudity', 'Creature Collector', 'RPG', 'Turn-Based Strategy', 'JRPG', 'Anime', 'Cute', 'Turn-Based Combat', 'Adventure', 'Lore-Rich', 'Story Rich', 'Singleplayer', 'NSFW', 'Indie', 'Fantasy', 'Drama', 'Sci-fi']",Very Positive,1556,9,10,1
12,DEAD OR ALIVE Xtreme Venus Vacation, *With video card, 2 GB RAM, Windows® 10 64bit, *With video card, 10 GB available space,958260,Free To Play,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Sports,"25 Mar, 2019","['Sexual Content', 'Mature', 'Hentai', 'Free to Play', 'NSFW', 'Female Protagonist', 'First-Person', '3D', 'Anime', 'Action', 'Cute', 'Dating Sim', 'Sports', 'Singleplayer', 'Open World', 'Casual', 'Character Customization', 'Multiplayer', 'RPG', 'Simulation']",Very Positive,27519,9,10,1
13,Warframe,1,1,1,1,1,230410,Free To Play,Digital Extremes,Digital Extremes,Action,"25 Mar, 2013","['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Massively Multiplayer', 'Character Customization', 'Online Co-Op', 'Co-op', 'Singleplayer', 'PvE', 'Sci-fi', 'Space', 'Shooter', 'Lore-Rich', 'Hack and Slash', 'Parkour', 'Ninja']",Very Positive,599233,9,10,1
14,Diablo® IV, NVIDIA® GeForce® GTX 660 or Intel® Arc™ A380 or AMD Radeon™ R9 280, 8 GB RAM, 64-bit Windows® 10 version 1909 or newer, Intel® Core™ i5-2500K or AMD™ FX-8350, 90 GB available space,2344520,"₩ 75,970","Blizzard Entertainment, Inc."," Blizzard Entertainment, Inc.",Action,"17 Oct, 2023","['Action RPG', 'Hack and Slash', 'Loot', 'Isometric', 'RPG', 'Online Co-Op', 'Singleplayer', 'Co-op', 'Dungeon Crawler', 'Multiplayer', 'Action', 'Third Person', 'Fantasy', 'PvE', 'Dark Fantasy', 'Story Rich', 'Gore', 'Exploration', 'Point & Click', 'Violent']",Mostly Positive,28344,7,10,1
15,Assassin's Creed® Odyssey," AMD Radeon R9 285, NVIDIA GeForce GTX 660 (2GB VRAM with Shader Model 5.0) (MORE DETAILS HERE)", 8 GB RAM, Windows 10 (64bit versions only)," AMD FX 6300 @ 3.8 GHz, Ryzen 3 - 1200, Intel Core i5 2400 @ 3.1 GHz (MORE DETAILS HERE)", 46+ GB available space,812140,"₩ 31,100",Ubisoft Quebec,Ubisoft,Action,"5 Oct, 2018","['Open World', 'RPG', 'Historical', 'Singleplayer', 'Action', 'Assassin', 'Third Person', 'Adventure', 'Mythology', 'Stealth', 'Multiple Endings', 'Story Rich', 'Female Protagonist', 'Parkour', 'Choices Matter', 'Exploration', 'Action RPG', 'Action-Adventure', 'Multiplayer', 'Choose Your Own Adventure']",Very Positive,145786,9,10,1
16,Diplomacy is Not an Option, GeForce GTX 960 / AMD Radeon R9 280, 16 GB RAM," Windows 10, 11 64 bit", Intel Core i5 6400 / AMD X8 FX-8300, 15 GB available space,1272320,"₩ 3,400",Door 407,Door 407,Indie,"4 Oct, 2024","['Strategy', 'Singleplayer', 'Sandbox', 'Base Building', 'Colony Sim', 'Management', 'RTS', 'Difficult', 'Action RTS', 'Building', 'Medieval', 'City Builder', 'Colorful', 'War', 'Tower Defense', 'Combat', 'Adventure', 'Survival', 'Procedural Generation', '3D']",Very Positive,6661,9,10,1
17,Monster Hunter World: Iceborne, NVIDIA®GeForce®GTX 760 or GTX1050 or AMD Radeon™ R7 260x or RX 560, 8 GB RAM, WINDOWS® 10 (64-bit required), Intel® Core™ i5 4460 or Core™ i3 9100F or AMD FX™-6300 or Ryzen™ 3 3200G, 52 GB available space,1118010,"₩ 44,800","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,"9 Jan, 2020","['Action', 'Multiplayer', 'Co-op', 'Open World', 'Hunting', 'Difficult', 'Third Person', 'Singleplayer', 'Adventure', 'Online Co-Op', 'RPG', 'Character Customization', 'Exploration', 'Dragons', 'Hack and Slash', 'Story Rich', 'PvE', 'JRPG', 'Souls-like', 'Dinosaurs']",N/A,17043,6,10,1
18,Anno 1800," NVIDIA GeForce 670 GTX or AMD Radeon R9 285 (2 GB of VRAM, Shader Model 5.0)", 8 GB RAM, Windows 10(64-bit versions only)," Intel i5 3470, AMD FX 6350", 60 GB available space,916440,"₩ 249,220",Ubisoft Mainz,Ubisoft,Simulation,Apr 2019,"['City Builder', 'Strategy', 'Simulation', 'Economy', 'Multiplayer', 'Resource Management', 'Sandbox', 'RTS', 'Singleplayer', 'Exploration', 'Management', 'Co-op', 'Historical', 'Political', 'Building', 'Choose Your Own Adventure', 'Politics', 'Choices Matter', 'Story Rich', 'Multiple Endings']",Very Positive,17663,9,10,1
19,Dota 2,1,1,1,1,1,570,Free To Play,Valve,Valve,Action,"9 Jul, 2013","['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",Mostly Positive,2366839,9,10,1
20,Cyberpunk 2077, GeForce GTX 1060 6GB or Radeon RX 580 8GB or Arc A380, 12 GB RAM, 64-bit Windows 10, Core i7-6700 or Ryzen 5 1600, 70 GB available space,1091500,"₩ 27,920",CD PROJEKT RED,CD PROJEKT RED,RPG,"9 Dec, 2020","['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'FPS', 'Futuristic', 'Mature', 'Story Rich', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']",Very Positive,694475,9,10,1
21,ELDEN RING, NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB, 12 GB RAM, Windows 10, INTEL CORE I5-8400 or AMD RYZEN 3 3300X, 60 GB available space,1245620,"₩ 64,800","FromSoftware, Inc.","FromSoftware, Inc.",Action,"24 Feb, 2022","['Souls-like', 'Open World', 'Dark Fantasy', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'Atmospheric', 'PvP', 'Great Soundtrack', 'Violent', '3D', 'Family Friendly', 'Character Customization']",Very Positive,718989,9,10,1
22,Drova - Forsaken Kin, Integrated Graphics Card, 2 GB RAM,1, Dual Core Processor 2 Ghz, 4.03 GB available space,1585180,"₩ 27,000",Just2D,Deck13,Action,"15 Oct, 2024","['RPG', 'Exploration', 'Action RPG', 'Character Customization', 'CRPG', '2D', 'Souls-like', 'Choices Matter', 'Open World', 'Pixel Graphics', 'Action', 'Dynamic Narration', 'Story Rich', 'Dark Fantasy', 'Fantasy', 'Magic', 'Singleplayer', 'Mystery', 'Adventure', 'Atmospheric']",Overwhelmingly Positive,2996,10,10,1
23,Horizon Forbidden West™ Complete Edition, NVIDIA GeForce GTX 1650 4GB or AMD Radeon RX 5500XT 4GB, 16 GB RAM, Windows 10 64-bit (version 1909 or higher), Intel Core i3-8100 or AMD Ryzen 3 1300X, 150 GB available space,2420110,"₩ 62,800",Guerrilla,PlayStation Publishing LLC,Action,"21 Mar, 2024","['Singleplayer', 'Open World', 'Female Protagonist', 'Action', 'RPG', 'Exploration', 'Story Rich', 'Post-apocalyptic', 'Third Person', 'Sci-fi', 'Robots', 'Action RPG', 'Adventure', 'Atmospheric', 'Great Soundtrack', 'LGBTQ+', 'Controller', 'Action-Adventure', 'Stealth', 'Sexual Content']",Very Positive,11925,9,10,1
24,Microsoft Flight Simulator 2024, Radeon RX 5700 or GeForce GTX 970, 16 GB RAM, Windows 10, AMD Ryzen 5 2600X or Intel Core i7-6800K, 50 GB available space,2537590,"₩ 80,000",Asobo Studio,Xbox Game Studios,Simulation,"19 Nov, 2024","['Simulation', 'Flight', 'Realistic', 'VR', 'Hobby Sim', 'Multiplayer', 'Singleplayer', 'Atmospheric', 'Family Friendly', 'Sandbox', 'Exploration', 'Nature', 'Relaxing', 'Open World', 'Nonlinear', 'Immersive Sim', 'Character Customization', 'Physics', 'Colorful', 'Psychological Horror']",N/A,6590,6,10,1
25,Stardew Valley,1,1,1,1,1,413150,"₩ 3,850",ConcernedApe,ConcernedApe,Indie,"26 Feb, 2016","['Farming Sim', 'Pixel Graphics', 'Life Sim', 'Multiplayer', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing']",Overwhelmingly Positive,671482,10,10,1
26,MONSTER HUNTER RISE, NVIDIA® GeForce® GT 1030 (DDR4) or AMD Radeon™ RX 550, 8 GB RAM, Windows 10 （64-bit）, Intel® Core™ i3-4130 or Core™ i5-3470 or AMD FX™-6100, 36 GB available space,1446780,"₩ 44,800","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,"12 Jan, 2022","['Action', 'RPG', 'Hunting', 'Online Co-Op', 'Character Customization', 'Multiplayer', 'Action RPG', 'Co-op', 'Singleplayer', 'Third Person', 'JRPG', 'PvE', 'Fantasy', 'Anime', 'Dragons', '3D', 'Nature', 'Atmospheric', 'Open World', 'Souls-like']",Very Positive,66660,9,10,1
27,Farming Simulator 25," Nvidia GeForce GTX 1050Ti, AMD Radeon RX 470 graphics card or better (min 3GB VRAM, DX12 support)", 8 GB RAM, Windows 10 64bit," Intel Core i5-6400, AMD Ryzen 5 1400, or better", 45 GB available space,2300320,"₩ 44,000",Giants Software,Giants Software,Simulation,"12 Nov, 2024","['Simulation', 'Farming Sim', 'Realistic', 'Immersive Sim', '3D', 'First-Person', 'Time Management', 'Economy', 'Third Person', 'Building', 'Atmospheric', 'Multiplayer', 'Management', 'Nature', 'Relaxing', 'Physics', 'Online Co-Op', 'Farming', 'Singleplayer', 'Moddable']",Mostly Positive,9744,7,10,1
28,Back 4 Blood, NVIDIA GeForce GTX 1050 Ti OR AMD Radeon RX 570, 8 GB RAM, 64-bit Windows 10, Intel Core i5-6600 (3.3 GHz) OR AMD Ryzen 5 2600 (3.4 GHz), 40 GB available space,924970,"₩ 14,800",Turtle Rock Studios,Warner Bros. Games,Action,"12 Oct, 2021","['Zombies', 'Online Co-Op', 'Multiplayer', 'Shooter', 'FPS', 'Action', 'Co-op', 'Gore', 'Horror', 'First-Person', 'Singleplayer', 'Survival', 'Blood', 'Violent', 'Adventure', 'Survival Horror', 'PvE', 'PvP', 'Roguelite', 'Replay Value']",Mostly Positive,47042,6,10,1
29,The Binding of Isaac: Repentance, GeForce 900 Series, 4 GB RAM, Windows 10, i7, 666 MB available space,1426300,"₩ 7,590","Nicalis, Inc.","Nicalis, Inc.",Action,"31 Mar, 2021","['Action', 'Adventure', 'RPG', 'Roguelike', 'Difficult', 'Replay Value', 'Action Roguelike', 'Gore', 'Indie', 'Pixel Graphics', 'Singleplayer', 'Multiplayer', 'Dungeon Crawler', '2D', 'Roguelite', 'Dark', 'Great Soundtrack', 'Procedural Generation', 'Atmospheric', 'Horror']",Very Positive,12077,9,10,1
30,Valheim, GeForce GTX 950 or Radeon HD 7970, 8 GB RAM,1, 2.6 GHz Quad Core or similar, 1 GB available space,892970,"₩ 4,250",Iron Gate AB,Coffee Stain Publishing,Action,"2 Feb, 2021","['Open World Survival Craft', 'Survival', 'Online Co-Op', 'Open World', 'Multiplayer', 'Building', 'Crafting', 'Base Building', 'Exploration', 'Co-op', 'Difficult', 'Adventure', 'Mythology', 'Sandbox', 'Action', 'PvE', 'Third Person', 'Singleplayer', 'Early Access', 'Indie']",Very Positive,404050,9,10,1
31,Palworld, GeForce GTX 1050 (2GB), 16 GB RAM, Windows 10 or later (64-Bit), i5-3570K 3.4 GHz 4 Core, 40 GB available space,1623730,"₩ 5,020",Pocketpair,Pocketpair,Action,"18 Jan, 2024","['Open World', 'Multiplayer', 'Survival', 'Creature Collector', 'Open World Survival Craft', 'Crafting', 'Co-op', 'Adventure', 'Sandbox', 'Third-Person Shooter', 'Automation', 'Action', 'RPG', 'Early Access', 'Anime', 'PvE', '3D', 'Indie', 'Looter Shooter', 'Hack and Slash']",Overwhelmingly Positive,287032,9,10,1
32,ARK: Survival Evolved,1,1,1,1,1,346110,"₩ 16,500",Studio Wildcard,Studio Wildcard,Action,"27 Aug, 2017","['Open World Survival Craft', 'Survival', 'Multiplayer', 'Open World', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base Building', 'Co-op', 'Action', 'First-Person', 'Sandbox', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'RPG', 'Dragons', 'Sci-fi', 'Indie']",Very Positive,532606,9,10,1
33,Assassin's Creed Mirage, Intel® Arc™ A380 (6 GB) / NVIDIA® GeForce® GTX 1060 (6 GB) / AMD Radeon™ RX 570 (4 GB), 8 GB RAM, Windows 10/11, INTEL® Core™ i7-4790K (INTEL® Core™ i5-8400 for Intel® ARC™ with Rebar) / Ryzen™ 5 1600, 40 GB available space,3035570,"₩ 97,620",Ubisoft Bordeaux,Ubisoft,Action,"17 Oct, 2024","['Action', 'Adventure', 'Open World', 'Action-Adventure', 'Assassin', 'RPG', 'Parkour', 'Historical', 'Singleplayer', 'Action RPG', 'Third Person', 'Stealth', 'Violent', 'Story Rich', 'Atmospheric']",Mostly Positive,2588,7,10,1
34,Elin, Intel HD Graphics 615, 8 GB RAM,1, Pentium Core i-5, 2 GB available space,2135150,"₩ 26,500",Lafrontier,Lafrontier,Indie,"1 Nov, 2024","['Early Access', 'Character Customization', 'Roguelike', 'Traditional Roguelike', 'Open World', 'JRPG', 'RPG', 'Pixel Graphics', '2D', 'Singleplayer', 'Dungeon Crawler', 'Exploration', 'Difficult', 'Multiplayer', 'Nonlinear', 'Procedural Generation', 'Loot', 'Mystery Dungeon', 'Perma Death', 'Sandbox']",Very Positive,2944,9,10,1
35,TEKKEN 8, Nvidia GeForce GTX 1050Ti/AMD Radeon R9 380X, 8 GB RAM, Windows 10 64-Bit, Intel Core i5-6600K/AMD Ryzen 5 1600, 100 GB available space,1778820,"₩ 110,250",Bandai Namco Studios Inc.,Bandai Namco Entertainment,Action,"25 Jan, 2024","['Fighting', '3D Fighter', 'Action', 'Multiplayer', 'Local Multiplayer', 'eSports', 'Arcade', 'PvP', 'Singleplayer', 'Competitive', 'Casual', 'Character Customization', 'Martial Arts', 'Anime', 'Great Soundtrack', 'Difficult', 'Controller', 'Story Rich', 'Sexual Content', 'Nudity']",Mostly Positive,23266,7,10,1
36,HITMAN World of Assassination, NVIDIA GeForce GTX 660 / Radeon HD 7870, 8 GB RAM, OS 64-bit Windows 10, Intel CPU Core i5-2500K 3.3GHz / AMD CPU Phenom II X4 940, 60 GB available space,1659040,"₩ 26,880",IO Interactive A/S,IO Interactive A/S,Action,"20 Jan, 2022","['Stealth', 'Assassin', 'Action', 'Singleplayer', 'VR', 'Sandbox', 'Violent', 'Shooter', 'Third Person', 'Third-Person Shooter', 'Adventure', 'Realistic', 'Cinematic', 'Puzzle', 'Multiplayer', 'Funny', 'Open World', 'Gore', 'Immersive Sim', 'Capitalism']",Very Positive,30193,9,10,1
37,ROMANCE OF THE THREE KINGDOMS XIV, NVIDIA GeForce GTX660, 4 GB RAM," Windows® 10, 64bit", Intel Core i3-3220 (3.0GHz or over), 20 GB available space,872410,"₩ 64,800","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Simulation,"15 Jan, 2020","['Turn-Based Tactics', 'Wargame', 'Military', 'Immersive Sim', 'Diplomacy', 'War', 'Character Customization', 'Grand Strategy', 'Turn-Based Strategy', 'Strategy', 'Historical', '3D', 'Alternate History', 'Simulation', 'Tactical', 'Resource Management', 'Singleplayer', 'Replay Value', 'RPG', 'Turn-Based']",Mostly Positive,11916,6,10,1
38,War Thunder, DirectX 10.1 level video card, 4 GB RAM, Windows 10 (64bit), Dual-Core 2.2 GHz, 40 GB available space,236390,Free To Play,Gaijin Entertainment,Gaijin Network Ltd,Action,"15 Aug, 2013","['Free to Play', 'Simulation', 'Vehicular Combat', 'Combat', 'World War II', 'VR', 'Flight', 'War', 'Military', 'Tanks', 'Naval Combat', 'Multiplayer', 'Massively Multiplayer', 'Modern', 'Cold War', 'Action', 'Realistic', 'Shooter', 'Third Person', 'Third-Person Shooter']",Mostly Positive,563552,7,10,1
39,Detroit: Become Human, Nvidia GeForce GTX 780 or AMD HD 7950 with 3GB VRAM minimum (Support of Vulkan 1.1 required), 8 GB RAM, Windows 10 (64 bit), Intel Core i5-2300 @ 2.8 GHz or AMD Ryzen 3 1200 @ 3.1GHz or AMD FX-8350 @ 4.2GHz, 55 GB available space,1222140,"₩ 43,800",Quantic Dream,Quantic Dream,Action,"18 Jun, 2020","['Choices Matter', 'Story Rich', 'Multiple Endings', 'Cinematic', 'Singleplayer', 'Emotional', 'Sci-fi', 'Robots', 'Futuristic', 'Adventure', 'Beautiful', 'Great Soundtrack', 'Atmospheric', 'Third Person', 'Dynamic Narration', 'Replay Value', 'Cyberpunk', 'Narration', 'Violent', 'Female Protagonist']",Overwhelmingly Positive,118909,10,10,1
40,Romancing SaGa 2: Revenge of the Seven, AMD Radeon™ RX 460 / NVIDIA® GeForce® GTX 950, 8 GB RAM, Windows® 10 / 11 64-bit, AMD Ryzen 3 1200 / Intel® Core™ i3-6100, 30 GB available space,2455640,"₩ 59,800",Square Enix,Square Enix,RPG,"24 Oct, 2024","['JRPG', 'Tactical RPG', 'Party-Based RPG', '3D', 'Controller', 'Story Rich', 'Lore-Rich', 'Third Person', 'Fantasy', 'RPG', 'Class-Based', 'Medieval', 'Remake', 'Emotional', 'Singleplayer', ""1990's"", 'Anime', 'Turn-Based']",Overwhelmingly Positive,1633,10,10,1
41,Limbus Company, GeForce GT 1030, 8 GB RAM, Windows 10, Intel Core i5, 10 GB available space,1973530,Free To Play,ProjectMoon,ProjectMoon,Action,"26 Feb, 2023","['Lore-Rich', 'Story Rich', 'Turn-Based Tactics', 'RPG', 'Turn-Based Combat', 'Free to Play', 'Visual Novel', 'Singleplayer', 'Strategy', 'Strategy RPG', 'Anime', 'PvE', 'Turn-Based Strategy', '2D', 'Action', 'Dark Fantasy', 'Roguelite', 'Sci-fi', 'Great Soundtrack', 'Colorful']",Mostly Positive,43608,9,10,1
42,TCG Card Shop Simulator, NVidia GeForce GTX 1050, 8 GB RAM, Windows (64-bit) 10, Intel Core i5-3550, 5 GB available space,3070070,"₩ 14,500",OPNeon Games,OPNeon Games,Simulation,"15 Sep, 2024","['Simulation', 'Management', 'Economy', 'Collectathon', 'Singleplayer', 'Capitalism', 'Early Access', 'Trading Card Game', 'Card Game', 'Immersive Sim', 'Trading', '3D', 'Life Sim', 'First-Person', 'Relaxing', 'Casual', 'Shop Keeper', 'Psychological Horror']",Overwhelmingly Positive,24765,10,10,1
43,Sea of Thieves: 2024 Edition, Nvidia GeForce GTX 650 - AMD Radeon 7750 - Intel A310, 4 GB RAM, Windows 10, Intel Q9450 @ 2.6GHz - AMD Phenom II X6 @ 3.3 GHz, 100 GB available space,1172620,"₩ 39,900",Rare Ltd,Xbox Game Studios,Action,"3 Jun, 2020","['Multiplayer', 'Open World', 'Adventure', 'Pirates', 'Co-op', 'Online Co-Op', 'Action', 'PvP', 'Sailing', 'First-Person', 'Exploration', 'Naval', 'PvE', 'Funny', 'Massively Multiplayer', 'FPS', 'Atmospheric', 'Great Soundtrack', 'Swordplay', 'Singleplayer']",Very Positive,296294,9,10,1
44,Strinova," Nvidia GeForce GT 730, AMD R7 240", 4 GB RAM,1, Intel Core i3-4170, 25 GB available space,1282270,Free To Play,iDreamSky,iDreamSky,Action,"21 Nov, 2024","['Free to Play', 'Third-Person Shooter', 'Anime', 'FPS', 'Hero Shooter', 'Shooter', 'PvP', 'Real Time Tactics', 'Multiplayer', 'Action', 'Third Person', 'MOBA', 'eSports', 'Team-Based', 'Online Co-Op', 'Massively Multiplayer', 'Co-op', 'Female Protagonist', '3D', 'Sexual Content']",Mostly Positive,9131,7,10,1
