,Title,Graphs,Memory,OS,Processor,Storage,app_id,Original Price,Developer,Publisher,Genre,Release Date,User Tags,All Time Reception,Total Count of Reviews,Rating,Best Rating,Worst Rating
147,Tom Clancy's Rainbow Six® Siege," AMD RX 460 (2 GB), NVIDIA GeForce GTX 750 Ti (2 GB), or better", 8 GB RAM," Windows 10, Windows 11 (64-bit versions)"," AMD Ryzen 3 1200 @ 3.1 GHz, Intel Core i5-4590 @ 3.3 GHz, or better", 86 GB available space,359550,"₩ 28,600",Ubisoft Montreal,Ubisoft,Action,"1 Dec, 2015","['FPS', 'PvP', 'eSports', 'Multiplayer', 'Shooter', 'Tactical', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'War', 'Realistic', 'Co-op', 'Destruction', 'Difficult', '3D']",Mostly Positive,1132305,9,10,1
148,Falling with Ice Phoenix!, HD Graphics, 2 GB RAM,1, Core i3, 2 GB available space,2685500,"₩ 11,000",F Project,Alice Publication,Action,"21 Nov, 2024","['Action', ""Beat 'em up"", 'Sexual Content', '2D Platformer', 'Visual Novel', 'NSFW', 'Hentai', 'Pixel Graphics', 'Nudity', 'Anime', 'Mature', 'Fantasy', 'Singleplayer', 'PvP', 'Adventure', 'Funny', 'Multiplayer', 'Comedy', 'Casual', 'RPG']",Very Positive,74,9,10,1
149,Persona 3 Reload," NVIDIA GeForce GTX 650 Ti, 2 GB; AMD Radeon HD 7850, 2 GB", 8 GB RAM, Windows 10," Intel Core i5-2300, AMD FX-4350", 30 GB available space,2161700,"₩ 46,580",ATLUS,SEGA,Adventure,"1 Feb, 2024","['JRPG', 'RPG', 'Anime', 'Party-Based RPG', 'Adventure', 'Turn-Based Strategy', 'Strategy', 'Dating Sim', 'Story Rich', 'Dark', 'Strategy RPG', 'Emotional', 'Visual Novel', 'Turn-Based Combat', 'Colorful', 'Great Soundtrack', 'Supernatural', 'Mystery', 'Detective', 'Multiple Endings']",Overwhelmingly Positive,21530,9,10,1
150,Fallout 76, NVIDIA GTX 780 3GB /AMD Radeon R9 285 2GB or equivalent, 8 GB RAM,1, Intel Core i5-6600k 3.5 GHz /AMD Ryzen 3 1300X 3.5 GHz or equivalent, 96 GB available space,1151340,"₩ 67,000",Bethesda Game Studios,Bethesda Softworks,RPG,"14 Apr, 2020","['Open World', 'Multiplayer', 'Dark Comedy', 'Post-apocalyptic', 'RPG', 'Capitalism', 'Survival', 'Base Building', 'Co-op', 'Shooter', 'Horror', 'MMORPG', 'Exploration', 'FPS', 'Gore', 'Singleplayer', 'Violent', 'Atmospheric', 'Great Soundtrack', 'Early Access']",Mostly Positive,62748,7,10,1
151,Hades, 1GB VRAM / DirectX 10+ support, 4 GB RAM,1, Dual Core 2.4 GHz, 15 GB available space,1145360,"₩ 4,400",Supergiant Games,Supergiant Games,Action,"17 Sep, 2020","['Action Roguelike', 'Roguelite', 'Hack and Slash', 'Indie', 'Mythology', 'Action', 'Roguelike', 'Great Soundtrack', 'Singleplayer', 'RPG', 'Story Rich', 'Dungeon Crawler', 'Replay Value', 'Isometric', 'Difficult', 'Action RPG', 'Hand-drawn', 'Atmospheric', 'Perma Death', 'LGBTQ+']",Overwhelmingly Positive,249658,10,10,1
152,Age of Empires IV: Anniversary Edition, Intel HD 520 or AMD Radeon RX Vega 11, 8 GB RAM, Windows 10 64bit | Windows 11 64bit, Intel Core i5-6300U or AMD Ryzen 5 2400G | CPU with AVX support required, 50 GB available space,1466860,"₩ 19,930",Relic Entertainment,Xbox Game Studios,Strategy,"28 Oct, 2021","['Strategy', 'RTS', 'Base Building', 'War', 'Multiplayer', 'Singleplayer', 'Medieval', 'Resource Management', 'City Builder', 'Historical', 'Action RTS', 'PvP', 'PvE', 'Co-op', '3D', 'Management', 'Isometric', 'Open World', 'Online Co-Op', 'Mature']",Very Positive,55310,9,10,1
153,Lies of P, AMD Radeon RX 560 4GB / NVIDIA GeForce GTX 960 4GB, 8 GB RAM, Windows 10 64bit, AMD Ryzen 3 1200／Intel Core i3-6300, 50 GB available space,1627720,"₩ 17,500",NEOWIZ,NEOWIZ,Action,"18 Sep, 2023","['Souls-like', 'Action', 'Dark Fantasy', 'Action RPG', 'Exploration', 'Third Person', 'Singleplayer', 'Story Rich', 'Dark', 'Adventure', 'Steampunk', 'Atmospheric', '3D', 'RPG', 'Choices Matter', 'Multiple Endings', 'Gothic', 'Violent', 'Difficult', 'Replay Value']",Very Positive,32464,9,10,1
154,Rust, GTX 1050 / AMD 500 Series or better, 10 GB RAM, Windows 10 64bit, Intel Core i7-3770 / AMD FX-9590 or better, 35 GB available space,252490,"₩ 28,800",Facepunch Studios,Facepunch Studios,Action,"8 Feb, 2018","['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Shooter', 'Co-op', 'Online Co-Op', 'Indie', 'Post-apocalyptic', 'Early Access', 'Simulation']",Very Positive,935170,9,10,1
155,ROMANCE OF THE THREE KINGDOMS 8 REMAKE," NVIDIA GeForce GTX 660 (2GB) or better, AMD Radeon R7 370 (2GB) or better", 8 GB RAM, Windows® 10/11 64-bit (Note, Intel Core i5-4460 or higher, 40 GB available space,2288150,"₩ 69,800","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Simulation,"23 Oct, 2024","['Turn-Based Tactics', 'Wargame', 'Military', 'Immersive Sim', 'Diplomacy', 'RTS', 'Turn-Based Strategy', 'Strategy', 'Grand Strategy', 'Character Customization', 'Historical', 'Alternate History', 'Simulation', 'Story Rich', 'Tactical', 'Resource Management', 'Singleplayer', 'Replay Value', 'Addictive', 'Epic']",N/A,2054,6,10,1
156,WEBFISHING, GTX 580, 8 GB RAM,1, 2Ghz, 4 GB available space,3146520,"₩ 5,600",lamedeveloper,lamedeveloper,Casual,"11 Oct, 2024","['Fishing', 'Casual', 'Multiplayer', 'Cute', 'Creature Collector', 'Character Customization', 'Indie', 'Psychological Horror', 'Online Co-Op', '3D', 'Collectathon', 'LGBTQ+', 'Cartoon', 'Colorful', 'Stylized', 'Third Person', 'Singleplayer', 'Co-op', 'Nonlinear', 'Third-Person Shooter']",Overwhelmingly Positive,28710,10,10,1
